cohort_month,cohort_index,cohort_size,active_customers,retention_pct
2009-12-01,0,955,955,100.0
2009-12-01,1,955,337,35.29
2009-12-01,2,955,319,33.4
2009-12-01,3,955,406,42.51
2009-12-01,4,955,363,38.01
2009-12-01,5,955,343,35.92
2009-12-01,6,955,360,37.7
2009-12-01,7,955,327,34.24
2009-12-01,8,955,321,33.61
2009-12-01,9,955,346,36.23
2009-12-01,10,955,403,42.2
2009-12-01,11,955,473,49.53
2009-12-01,12,955,359,37.59
2009-12-01,13,955,270,28.27
2009-12-01,14,955,233,24.4
2009-12-01,15,955,289,30.26
2009-12-01,16,955,251,26.28
2009-12-01,17,955,289,30.26
2009-12-01,18,955,270,28.27
2009-12-01,19,955,248,25.97
2009-12-01,20,955,244,25.55
2009-12-01,21,955,301,31.52
2009-12-01,22,955,291,30.47
2009-12-01,23,955,389,40.73
2009-12-01,24,955,188,19.69
2010-01-01,0,383,383,100.0
2010-01-01,1,383,79,20.63
2010-01-01,2,383,119,31.07
2010-01-01,3,383,117,30.55
2010-01-01,4,383,101,26.37
2010-01-01,5,383,115,30.03
2010-01-01,6,383,99,25.85
2010-01-01,7,383,88,22.98
2010-01-01,8,383,107,27.94
2010-01-01,9,383,122,31.85
2010-01-01,10,383,116,30.29
2010-01-01,11,383,66,17.23
2010-01-01,12,383,85,22.19
2010-01-01,13,383,68,17.75
2010-01-01,14,383,72,18.8
2010-01-01,15,383,58,15.14
2010-01-01,16,383,90,23.5
2010-01-01,17,383,76,19.84
2010-01-01,18,383,71,18.54
2010-01-01,19,383,75,19.58
2010-01-01,20,383,93,24.28
2010-01-01,21,383,74,19.32
2010-01-01,22,383,94,24.54
2010-01-01,23,383,22,5.74
2010-02-01,0,374,374,100.0
2010-02-01,1,374,89,23.8
2010-02-01,2,374,84,22.46
2010-02-01,3,374,109,29.14
2010-02-01,4,374,92,24.6
2010-02-01,5,374,75,20.05
2010-02-01,6,374,72,19.25
2010-02-01,7,374,107,28.61
2010-02-01,8,374,95,25.4
2010-02-01,9,374,103,27.54
2010-02-01,10,374,43,11.5
2010-02-01,11,374,47,12.57
2010-02-01,12,374,57,15.24
2010-02-01,13,374,65,17.38
2010-02-01,14,374,46,12.3
2010-02-01,15,374,75,20.05
2010-02-01,16,374,60,16.04
2010-02-01,17,374,61,16.31
2010-02-01,18,374,54,14.44
2010-02-01,19,374,86,22.99
2010-02-01,20,374,86,22.99
2010-02-01,21,374,61,16.31
2010-02-01,22,374,22,5.88
2010-03-01,0,443,443,100.0
2010-03-01,1,443,84,18.96
2010-03-01,2,443,102,23.02
2010-03-01,3,443,107,24.15
2010-03-01,4,443,103,23.25
2010-03-01,5,443,90,20.32
2010-03-01,6,443,109,24.6
2010-03-01,7,443,134,30.25
2010-03-01,8,443,122,27.54
2010-03-01,9,443,48,10.84
2010-03-01,10,443,51,11.51
2010-03-01,11,443,63,14.22
2010-03-01,12,443,89,20.09
2010-03-01,13,443,72,16.25
2010-03-01,14,443,89,20.09
2010-03-01,15,443,75,16.93
2010-03-01,16,443,77,17.38
2010-03-01,17,443,69,15.58
2010-03-01,18,443,78,17.61
2010-03-01,19,443,89,20.09
2010-03-01,20,443,94,21.22
2010-03-01,21,443,35,7.9
2010-04-01,0,294,294,100.0
2010-04-01,1,294,57,19.39
2010-04-01,2,294,57,19.39
2010-04-01,3,294,48,16.33
2010-04-01,4,294,54,18.37
2010-04-01,5,294,66,22.45
2010-04-01,6,294,81,27.55
2010-04-01,7,294,77,26.19
2010-04-01,8,294,31,10.54
2010-04-01,9,294,32,10.88
2010-04-01,10,294,22,7.48
2010-04-01,11,294,41,13.95
2010-04-01,12,294,41,13.95
2010-04-01,13,294,46,15.65
2010-04-01,14,294,46,15.65
2010-04-01,15,294,46,15.65
2010-04-01,16,294,41,13.95
2010-04-01,17,294,44,14.97
2010-04-01,18,294,53,18.03
2010-04-01,19,294,66,22.45
2010-04-01,20,294,17,5.78
2010-05-01,0,254,254,100.0
2010-05-01,1,254,40,15.75
2010-05-01,2,254,43,16.93
2010-05-01,3,254,44,17.32
2010-05-01,4,254,45,17.72
2010-05-01,5,254,65,25.59
2010-05-01,6,254,54,21.26
2010-05-01,7,254,32,12.6
2010-05-01,8,254,15,5.91
2010-05-01,9,254,21,8.27
2010-05-01,10,254,29,11.42
2010-05-01,11,254,34,13.39
2010-05-01,12,254,39,15.35
2010-05-01,13,254,39,15.35
2010-05-01,14,254,25,9.84
2010-05-01,15,254,32,12.6
2010-05-01,16,254,35,13.78
2010-05-01,17,254,42,16.54
2010-05-01,18,254,39,15.35
2010-05-01,19,254,12,4.72
2010-06-01,0,270,270,100.0
2010-06-01,1,270,47,17.41
2010-06-01,2,270,51,18.89
2010-06-01,3,270,55,20.37
2010-06-01,4,270,62,22.96
2010-06-01,5,270,77,28.52
2010-06-01,6,270,34,12.59
2010-06-01,7,270,24,8.89
2010-06-01,8,270,22,8.15
2010-06-01,9,270,32,11.85
2010-06-01,10,270,29,10.74
2010-06-01,11,270,37,13.7
2010-06-01,12,270,40,14.81
2010-06-01,13,270,33,12.22
2010-06-01,14,270,30,11.11
2010-06-01,15,270,33,12.22
2010-06-01,16,270,36,13.33
2010-06-01,17,270,55,20.37
2010-06-01,18,270,14,5.19
2010-07-01,0,186,186,100.0
2010-07-01,1,186,29,15.59
2010-07-01,2,186,34,18.28
2010-07-01,3,186,55,29.57
2010-07-01,4,186,54,29.03
2010-07-01,5,186,26,13.98
2010-07-01,6,186,21,11.29
2010-07-01,7,186,27,14.52
2010-07-01,8,186,27,14.52
2010-07-01,9,186,21,11.29
2010-07-01,10,186,25,13.44
2010-07-01,11,186,27,14.52
2010-07-01,12,186,25,13.44
2010-07-01,13,186,25,13.44
2010-07-01,14,186,36,19.35
2010-07-01,15,186,32,17.2
2010-07-01,16,186,44,23.66
2010-07-01,17,186,15,8.06
2010-08-01,0,162,162,100.0
2010-08-01,1,162,33,20.37
2010-08-01,2,162,48,29.63
2010-08-01,3,162,52,32.1
2010-08-01,4,162,28,17.28
2010-08-01,5,162,19,11.73
2010-08-01,6,162,16,9.88
2010-08-01,7,162,20,12.35
2010-08-01,8,162,22,13.58
2010-08-01,9,162,21,12.96
2010-08-01,10,162,21,12.96
2010-08-01,11,162,20,12.35
2010-08-01,12,162,25,15.43
2010-08-01,13,162,30,18.52
2010-08-01,14,162,29,17.9
2010-08-01,15,162,32,19.75
2010-08-01,16,162,11,6.79
2010-09-01,0,243,243,100.0
2010-09-01,1,243,55,22.63
2010-09-01,2,243,57,23.46
2010-09-01,3,243,30,12.35
2010-09-01,4,243,22,9.05
2010-09-01,5,243,25,10.29
2010-09-01,6,243,33,13.58
2010-09-01,7,243,24,9.88
2010-09-01,8,243,31,12.76
2010-09-01,9,243,32,13.17
2010-09-01,10,243,28,11.52
2010-09-01,11,243,24,9.88
2010-09-01,12,243,53,21.81
2010-09-01,13,243,40,16.46
2010-09-01,14,243,39,16.05
2010-09-01,15,243,13,5.35
2010-10-01,0,377,377,100.0
2010-10-01,1,377,97,25.73
2010-10-01,2,377,55,14.59
2010-10-01,3,377,47,12.47
2010-10-01,4,377,33,8.75
2010-10-01,5,377,31,8.22
2010-10-01,6,377,49,13.0
2010-10-01,7,377,52,13.79
2010-10-01,8,377,40,10.61
2010-10-01,9,377,35,9.28
2010-10-01,10,377,40,10.61
2010-10-01,11,377,49,13.0
2010-10-01,12,377,72,19.1
2010-10-01,13,377,87,23.08
2010-10-01,14,377,26,6.9
2010-11-01,0,325,325,100.0
2010-11-01,1,325,57,17.54
2010-11-01,2,325,30,9.23
2010-11-01,3,325,31,9.54
2010-11-01,4,325,25,7.69
2010-11-01,5,325,28,8.62
2010-11-01,6,325,42,12.92
2010-11-01,7,325,32,9.85
2010-11-01,8,325,28,8.62
2010-11-01,9,325,29,8.92
2010-11-01,10,325,36,11.08
2010-11-01,11,325,47,14.46
2010-11-01,12,325,83,25.54
2010-11-01,13,325,20,6.15
2010-12-01,0,76,76,100.0
2010-12-01,1,76,7,9.21
2010-12-01,2,76,4,5.26
2010-12-01,3,76,7,9.21
2010-12-01,4,76,9,11.84
2010-12-01,5,76,5,6.58
2010-12-01,6,76,4,5.26
2010-12-01,7,76,7,9.21
2010-12-01,8,76,4,5.26
2010-12-01,9,76,2,2.63
2010-12-01,10,76,7,9.21
2010-12-01,11,76,15,19.74
2010-12-01,12,76,2,2.63
2011-01-01,0,71,71,100.0
2011-01-01,1,71,12,16.9
2011-01-01,2,71,15,21.13
2011-01-01,3,71,14,19.72
2011-01-01,4,71,15,21.13
2011-01-01,5,71,11,15.49
2011-01-01,6,71,11,15.49
2011-01-01,7,71,9,12.68
2011-01-01,8,71,8,11.27
2011-01-01,9,71,15,21.13
2011-01-01,10,71,18,25.35
2011-01-01,11,71,8,11.27
2011-02-01,0,124,124,100.0
2011-02-01,1,124,20,16.13
2011-02-01,2,124,19,15.32
2011-02-01,3,124,23,18.55
2011-02-01,4,124,27,21.77
2011-02-01,5,124,19,15.32
2011-02-01,6,124,19,15.32
2011-02-01,7,124,18,14.52
2011-02-01,8,124,18,14.52
2011-02-01,9,124,22,17.74
2011-02-01,10,124,7,5.65
2011-03-01,0,179,179,100.0
2011-03-01,1,179,33,18.44
2011-03-01,2,179,39,21.79
2011-03-01,3,179,36,20.11
2011-03-01,4,179,40,22.35
2011-03-01,5,179,27,15.08
2011-03-01,6,179,37,20.67
2011-03-01,7,179,36,20.11
2011-03-01,8,179,43,24.02
2011-03-01,9,179,17,9.5
2011-04-01,0,106,106,100.0
2011-04-01,1,106,27,25.47
2011-04-01,2,106,21,19.81
2011-04-01,3,106,21,19.81
2011-04-01,4,106,19,17.92
2011-04-01,5,106,25,23.58
2011-04-01,6,106,19,17.92
2011-04-01,7,106,27,25.47
2011-04-01,8,106,12,11.32
2011-05-01,0,111,111,100.0
2011-05-01,1,111,26,23.42
2011-05-01,2,111,27,24.32
2011-05-01,3,111,18,16.22
2011-05-01,4,111,24,21.62
2011-05-01,5,111,23,20.72
2011-05-01,6,111,29,26.13
2011-05-01,7,111,13,11.71
2011-06-01,0,108,108,100.0
2011-06-01,1,108,25,23.15
2011-06-01,2,108,23,21.3
2011-06-01,3,108,29,26.85
2011-06-01,4,108,22,20.37
2011-06-01,5,108,31,28.7
2011-06-01,6,108,9,8.33
2011-07-01,0,102,102,100.0
2011-07-01,1,102,22,21.57
2011-07-01,2,102,31,30.39
2011-07-01,3,102,28,27.45
2011-07-01,4,102,35,34.31
2011-07-01,5,102,16,15.69
2011-08-01,0,106,106,100.0
2011-08-01,1,106,29,27.36
2011-08-01,2,106,33,31.13
2011-08-01,3,106,28,26.42
2011-08-01,4,106,18,16.98
2011-09-01,0,189,189,100.0
2011-09-01,1,189,51,26.98
2011-09-01,2,189,71,37.57
2011-09-01,3,189,28,14.81
2011-10-01,0,221,221,100.0
2011-10-01,1,221,71,32.13
2011-10-01,2,221,35,15.84
2011-11-01,0,191,191,100.0
2011-11-01,1,191,27,14.14
2011-12-01,0,28,28,100.0
